row_identifier,food_description,compound_fraction,value,candidate,candidate_data_type,match_method,rationale,special_case_tag,review_verdict,approved_fdc_food,rejection_reason,match_scope,reviewer,review_date,review_notes,cross_reference
03020012:PHYTCPP,Soybean curd,PHYTCPP,211,HANA FRIED SOYBEAN CURD SEASONED WITH SOY SAUCE,branded_food,fuzzy,"top two name-search candidates ('HANA FRIED SOYBEAN CURD SEASONED WITH SOY SAUCE', 'Rhee Bros. Inc. FRIED SOYBEAN CURD SEASONED WITH SOY SAUCE') are too textually similar to the source description (0.41 vs 0.34 similarity) to place confidently",TOFU_COAGULANT,replace,"Soybean, curd cheese",,category_estimate,Paul S,06/08/2026,,
03020013:PHYTCPP,Soybean curd,PHYTCPP,446,HANA FRIED SOYBEAN CURD SEASONED WITH SOY SAUCE,branded_food,fuzzy,"top two name-search candidates ('HANA FRIED SOYBEAN CURD SEASONED WITH SOY SAUCE', 'Rhee Bros. Inc. FRIED SOYBEAN CURD SEASONED WITH SOY SAUCE') are too textually similar to the source description (0.41 vs 0.34 similarity) to place confidently",TOFU_COAGULANT,replace,"Soybean, curd cheese",,category_estimate,Paul S,06/08/2026,,
03020014:PHYTCPP,"Soybean curd, chicken flavoured",PHYTCPP,736,"CHICKEN FLAVORED SOUP MIX, CHICKEN",branded_food,fuzzy,"top two name-search candidates ('CHICKEN FLAVORED SOUP MIX, CHICKEN', 'CHICKEN FLAVORED STOCK CUBES') are too textually similar to the source description (0.49 vs 0.54 similarity) to place confidently",TOFU_COAGULANT,replace,"Soybean, curd cheese",,category_estimate,Paul S,06/08/2026,,
03020016:PHYTCPP,"Soybean curd, Lactonic",PHYTCPP,130,"Soybean, curd cheese",sr_legacy_food,fuzzy,"top two name-search candidates ('Soybean, curd cheese', 'SOYBEAN PASTE') are too textually similar to the source description (0.67 vs 0.57 similarity) to place confidently",TOFU_COAGULANT,replace,"Soybean, curd cheese",,category_estimate,Paul S,06/08/2026,,
03020162:PHYTCPP,"Tofu, firm, prepared with CaCl2, Mori-Nu brand",PHYTCPP,188,"Tofu, extra firm, prepared with nigari",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, extra firm, prepared with nigari', 'Tofu, raw, firm, prepared with calcium sulfate') are too textually similar to the source description (0.69 vs 0.67 similarity) to place confidently",TOFU_COAGULANT,reject,,"""No FDC entry for tofu coagulated with calcium chloride alone; confirmed via direct catalog query — only combined CaSO4+MgCl2 (nigari) entries exist, which is a different coagulant chemistry, not an acceptable substitute for mineral-content purposes.""",unusable,Paul S,06/08/2026,,
03020163:PHYTCPP,"Tofu, firm, prepared with CaSO4, Hinoichi brand",PHYTCPP,621,"Tofu, extra firm, prepared with nigari",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, extra firm, prepared with nigari', 'Tofu, raw, firm, prepared with calcium sulfate') are too textually similar to the source description (0.66 vs 0.65 similarity) to place confidently",TOFU_COAGULANT,replace,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,,
03020164:PHYTCPP,"Tofu, firm, prepared with MgCl2, Small Planet brand",PHYTCPP,357,"Tofu, extra firm, prepared with nigari",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, extra firm, prepared with nigari', 'Tofu, raw, firm, prepared with calcium sulfate') are too textually similar to the source description (0.65 vs 0.64 similarity) to place confidently",TOFU_COAGULANT,reject,,"""No FDC entry for tofu coagulated with magnesium chloride alone; the only chloride-bearing entries are combined CaSO4+MgCl2 (nigari) products, which is compositionally different — confirmed via direct catalog query.""",unusable,Paul S,06/08/2026,,
03020167:PHYTCPP,"Tofu, Japanese traditional, prepared with CaSO4, PacSoy brand",PHYTCPP,462,"Kustom Foods TOFU, JAPANESE-TRADITIONAL",branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,TOFU_COAGULANT,replace,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,,
03020168:PHYTCPP,"Tofu, Japanese traditional, prepared with CaSO4, PacSoy brand",PHYTCPP,210,"Kustom Foods TOFU, JAPANESE-TRADITIONAL",branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,TOFU_COAGULANT,replace,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,,
03020169:PHYTCPPD,"Tofu, JS9650",PHYTCPPD,196.52,"Tofu, fried",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, fried', 'Tofu yogurt') are too textually similar to the source description (0.52 vs 0.43 similarity) to place confidently",TOFU_COAGULANT,reject,,"No preparation method stated beyond cultivar code; current match assumes frying, not supported by source description.",unusable,Paul S,06/08/2026,,
03020170:PHYTCPPD,"Tofu, JS9650, from germinated seeds",PHYTCPPD,109.2,"Nasoya Foods USA, LLC SESAME GINGER MARINATED BAKED TOFU, SESAME GINGER",branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,TOFU_COAGULANT,reject,,Matched to a marinated/flavored branded product at 0.40 confidence; no relation to a germinated-soybean research sample.,unusable,Paul S,06/08/2026,,
03020171:PHYTCPPD,"Tofu, JS9650, from germinated seeds",PHYTCPPD,130.19,"Nasoya Foods USA, LLC SESAME GINGER MARINATED BAKED TOFU, SESAME GINGER",branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,TOFU_COAGULANT,reject,,Matched to a marinated/flavored branded product at 0.40 confidence; no relation to a germinated-soybean research sample.,unusable,Paul S,06/08/2026,,
03020172:PHYTCPPD,"Tofu, JS9650, from germinated seeds",PHYTCPPD,130.5,"Nasoya Foods USA, LLC SESAME GINGER MARINATED BAKED TOFU, SESAME GINGER",branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,TOFU_COAGULANT,reject,,Matched to a marinated/flavored branded product at 0.40 confidence; no relation to a germinated-soybean research sample.,unusable,Paul S,06/08/2026,,
03020173:PHYTCPP,"Tofu, Kinugoshi type, soft, prepared with CaSO4, PacSoy brand",PHYTCPP,157,Tacoma Tofu Inc. KINUGOSHI (SOFT),branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,TOFU_COAGULANT,replace,"Tofu, raw, regular, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,"Kinugoshi (silken) is softer than ""firm""; FDC only offers firm/regular for CaSO4, so ""regular"" is the closer proxy, though imperfect for true silken texture.",
03020174:PHYTCPP,"Tofu, prepared with CaSO4, Pete's brand",PHYTCPP,89,"Tofu, fried, prepared with calcium sulfate",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, fried, prepared with calcium sulfate', 'Tofu, raw, firm, prepared with calcium sulfate') are too textually similar to the source description (0.62 vs 0.59 similarity) to place confidently",TOFU_COAGULANT,replace,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,"Correct candidate was the unselected runner-up (0.59); matcher picked ""fried"" (0.62) despite no frying mentioned in source.",
03020175:PHYTCPP,"Tofu, prepared with CaSO4, Pete's brand",PHYTCPP,100,"Tofu, fried, prepared with calcium sulfate",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, fried, prepared with calcium sulfate', 'Tofu, raw, firm, prepared with calcium sulfate') are too textually similar to the source description (0.62 vs 0.59 similarity) to place confidently",TOFU_COAGULANT,replace,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,Same as 03020174 - correct candidate was the unselected runner-up.,
03020176:PHYTCPP,"Tofu, prepared with MgCl2, White Wave brand",PHYTCPP,409,"Tofu, hard, prepared with nigari",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, hard, prepared with nigari', 'Tofu, fried, prepared with calcium sulfate') are too textually similar to the source description (0.59 vs 0.56 similarity) to place confidently",TOFU_COAGULANT,reject,,No pure-MgCl2 tofu entry exists in FDC (confirmed via catalog query) - only combined CaSO4+MgCl2 (nigari) entries exist.,unusable,Paul S,06/08/2026,,
03020177:PHYTCPP,"Tofu, Proto soybean 0 months stored (57% RH and 20ÂºC)",PHYTCPP,193,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020178:PHYTCPP,"Tofu, Proto soybean 0 months stored (84% RH and 30ÂºC)",PHYTCPP,193,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020179:PHYTCPP,"Tofu, Proto soybean 1 month stored (57% RH and 20ÂºC)",PHYTCPP,198,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.39 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020180:PHYTCPP,"Tofu, Proto soybean 1 month stored (84% RH and 30ÂºC)",PHYTCPP,184,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.39 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020181:PHYTCPP,"Tofu, Proto soybean 2 months stored (57% RH and 20ÂºC)",PHYTCPP,198,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020182:PHYTCPP,"Tofu, Proto soybean 2 months stored (84% RH and 30ÂºC)",PHYTCPP,189,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020183:PHYTCPP,"Tofu, Proto soybean 3 months stored (57% RH and 20ÂºC)",PHYTCPP,191,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020184:PHYTCPP,"Tofu, Proto soybean 3 months stored (84% RH and 30ÂºC)",PHYTCPP,197,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020185:PHYTCPP,"Tofu, Proto soybean 4 months stored (57% RH and 20ÂºC)",PHYTCPP,194,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020186:PHYTCPP,"Tofu, Proto soybean 4 months stored (84% RH and 30ÂºC)",PHYTCPP,225,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020187:PHYTCPP,"Tofu, Proto soybean 5 months stored (57% RH and 20ÂºC)",PHYTCPP,189,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020188:PHYTCPP,"Tofu, Proto soybean 5 months stored (84% RH and 30ÂºC)",PHYTCPP,224,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020189:PHYTCPP,"Tofu, Proto soybean 6 months stored (84% RH and 30ÂºC)",PHYTCPP,340,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020190:PHYTCPP,"Tofu, Proto soybean 7 months stored (84% RH and 30ÂºC)",PHYTCPP,883,HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS,branded_food,fuzzy,"top two name-search candidates ('HOUSE FOODS ORGANIC TOFU PROTEIN FROM SOYBEANS', 'Target Stores SHELLED SOYBEANS') are too textually similar to the source description (0.38 vs 0.29 similarity) to place confidently",TOFU_COAGULANT,reject,,Controlled storage-degradation research sample (specific RH/temperature/duration); no commercial FDC product can represent this - matcher's own low confidence (0.38-0.39) reflects it.,unusable,Paul S,06/08/2026,,
03020191:IP5,"Tofu, raw",IP5,5.13,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,canonical,"top two name-search candidates ('Tofu, raw, firm, prepared with calcium sulfate', 'Tofu, raw, regular, prepared with calcium sulfate') are too textually similar to the source description (0.33 vs 0.31 similarity) to place confidently",TOFU_COAGULANT,approve,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,"Unqualified ""Tofu, raw"" - CaSO4-firm is the most common commercial default, a defensible category assumption rather than an asserted-wrong specific coagulant.",
03020191:IP6,"Tofu, raw",IP6,166.383,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,canonical,"top two name-search candidates ('Tofu, raw, firm, prepared with calcium sulfate', 'Tofu, raw, regular, prepared with calcium sulfate') are too textually similar to the source description (0.33 vs 0.31 similarity) to place confidently",TOFU_COAGULANT,approve,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,Same as 03020191:IP5.,
03020191:IP5_A_IP6,"Tofu, raw",IP5_A_IP6,171.513,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,canonical,"top two name-search candidates ('Tofu, raw, firm, prepared with calcium sulfate', 'Tofu, raw, regular, prepared with calcium sulfate') are too textually similar to the source description (0.33 vs 0.31 similarity) to place confidently",TOFU_COAGULANT,approve,"Tofu, raw, firm, prepared with calcium sulfate",,category_estimate,Paul S,06/08/2026,Same as 03020191:IP5.,
03020192:IP6,"Tofu, Silken Style, Mori-Nu",IP6,124,"MORI-NU, Tofu, silken, soft",sr_legacy_food,fuzzy,"top two name-search candidates ('MORI-NU, Tofu, silken, soft', 'MORI-NU, Tofu, silken, firm') are too textually similar to the source description (0.56 vs 0.56 similarity) to place confidently",TOFU_COAGULANT,approve,"MORI-NU, Tofu, silken, soft",,category_estimate,Paul S,06/08/2026,"Genuinely tied 0.56 vs 0.56 with silken-firm; ""soft"" is the traditional association with ""silken"" and used as the tiebreak default - flagged, not hidden.",
03020193:PHYTCPP,"Tofu, soft,  prepared with CaCl2, Mori-Nu brand",PHYTCPP,174,"Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)', 'Tofu, hard, prepared with nigari') are too textually similar to the source description (0.62 vs 0.63 similarity) to place confidently",TOFU_COAGULANT,reject,,No pure-CaCl2 tofu entry exists in FDC; same issue as 03020162/03020164.,unusable,Paul S,06/08/2026,Also a Prompt 3B bug-1 instance: unselected runner-up scored 0.63 vs selected 0.62.,
03020194:PHYTCPP,"Tofu, soft, prepared with CaCl2, Mori-Nu brand",PHYTCPP,210,"Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)",sr_legacy_food,fuzzy,"top two name-search candidates ('Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)', 'Tofu, hard, prepared with nigari') are too textually similar to the source description (0.62 vs 0.64 similarity) to place confidently",TOFU_COAGULANT,reject,,No pure-CaCl2 tofu entry exists in FDC; same issue as 03020162/03020164.,unusable,Paul S,06/08/2026,,
01020021:PHYTCPP,Corn starch,PHYTCPP,0,RAPUNZEL ORGANIC CORN STARCH,branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,ZERO_VALUE_NEEDS_QUALIFIER,,,,,Paul S,06/08/2026,,
01030058:PHYTCPPI,"Bread, white wheat-based, leavened",PHYTCPPI,0,"Bread, white wheat",sr_legacy_food,fuzzy,"top two name-search candidates ('Bread, white wheat', 'SOLA WHITE WHEAT BREAD') are too textually similar to the source description (0.69 vs 0.61 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,,,,,Paul S,06/08/2026,,
01030060:PHYTCPPI,"Bread, white wheat-based, unleavened",PHYTCPPI,0,"Bread, white wheat",sr_legacy_food,fuzzy,"top two name-search candidates ('Bread, white wheat', 'SOLA WHITE WHEAT BREAD') are too textually similar to the source description (0.67 vs 0.59 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,,,,,Paul S,06/08/2026,,
02010001:PHYTCPP,Potato starch,PHYTCPP,0,Gracekennedy Foods (USA) LLC POTATO STARCH FLOUR,branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,ZERO_VALUE_NEEDS_QUALIFIER,,,,,Paul S,06/08/2026,,
02010037:PHYTCPP,Sweet potato starch,PHYTCPP,0,SWEET POTATO SOUP,branded_food,fuzzy,match confidence 0.40 below the 0.55 needs-review threshold,ZERO_VALUE_NEEDS_QUALIFIER,,,,,Paul S,06/08/2026,,
03010045:PHYTCPP,"Bean starch, vermicelli",PHYTCPP,0,LUXURY VERMICELLI,branded_food,fuzzy,"top two name-search candidates ('LUXURY VERMICELLI', 'ERAWAN RICE VERMICELLI') are too textually similar to the source description (0.60 vs 0.76 similarity) to place confidently",ZERO_VALUE_NEEDS_QUALIFIER,,,,,Paul S,06/08/2026,,
